Name,Parent,Leaflet,OpenLayers,Maplibre GL JS,Cesium JS,Description,Addendum
Rendering,,,,,,Raw data visualization features required for quality map composition,
Hardware acceleration,Rendering,3,2,1,1,The library can utilize the GPU for faster rendering,"OpenLayers’ support is partial, lines and polygons need additional setup. In Cesium and Maplibre, everything is hardware-accelerated. For Leaflet, you can try Leaflet.glify."
Render geometry,Rendering,1,1,1,1,The library can render vector geometries,
Render raster,Rendering,2,1,4,4,The library can render raster layers,Leaflet can render GeoTIFFs easily with the leaflet-geotiff plugin.
Render image,Rendering,1,1,1,1,The library can render image files,
Blend layers,Rendering,4,2,4,0,The library can overlay different layers using different blending modes,Support in OpenLayers only applies to layers displayed with the canvas renderer.
Format,,,,,,Data exchange format support used in GIS software,
Vector,Format,,,,,Vector data exchange format support,
ESRI Shapefile,Vector,3,3,3,3,The library can read Shapefiles,"There are third-party JavaScript libraries for interpreting Shapefiles (e.g. shapefile-js, shapefile)."
KML,Vector,2,1,2,1,The library can read KMLs,Possible with plugins in Leaflet and Maplibre GL JS.
GeoJSON,Vector,1,1,1,1,The library can read GeoJSONs,
WFS,Vector,2,1,2,3,The library can read vector data through a WFS connection,Easy to manually implement as long as the map can tell its exact view bounds and the WFS server can speak GeoJSON.
Write transaction,Vector,2,2,3,3,The library can write vector data through a WFS-T connection,Leaflet and OpenLayers can make implementing this easier with plugins and built-in support classes.
Mapbox vector tile,Vector,2,1,1,2,The library can read Mapbox vector tiles,OpenLayers does not support Mapbox style JSONs out of the box. Leaflet and Cesium JS need plugins for this. Cesium’s built-in MapboxStyleImageryProvider only works with old (v11) tiles hosted by Mapbox.
Raster,Format,,,,,Raster data exchange format support,
GeoTiff,Raster,3,1,3,3,The library can read GeoTIFF rasters,Needs geotiff.js in every case. In OpenLayers it is bundled with the library.
Arc/Info ASCII GRID,Raster,4,4,4,4,The library can read ASCII rasters,
WCS,Raster,4,4,4,4,The library can read raster data through a WCS connection,
Image,Format,,,,,Image data exchange format support,
JPEG,Image,1,1,1,1,The library can read JPEG images,
PNG,Image,1,1,1,1,The library can read PNG images,
WMS,Image,1,1,1,1,The library can read images through a WMS connection,"Maplibre GL JS and Cesium JS both use image data rather than images, therefore requested images are subjects to CORS limitations. Either configure a header or use a proxy."
Tile service,Format,,,,,Tiled image data exchange format support,
WMTS,Tile service,1,1,1,1,The library can read tiles through a WMTS connection,
TMS,Tile service,1,1,1,1,The library can read tiles through a TMS connection,
Slippy map,Tile service,1,1,1,1,The library can read tiles served in an OpenStreetMap Slippy map format,
Google Maps,Tile service,2,1,2,1,The library can read Google Maps layers,Cesium’s support focuses on photorealistic 3D tiles with 3D objects. Leaflet and Maplibre GL JS need plugins. Every library needs an API key.
ArcGIS REST API,Tile service,2,1,2,1,The library can read ArcGIS Online layers,"Cesium’s support is limited to WKIDs (ArcGIS projection codes) 102100, 102113, and 4326. Leaflet and Maplibre GL JS need plugins."
Bing Maps,Tile service,2,1,2,1,The library can read Bing Maps layers,"Cesium’s default view uses Bing layers. Leaflet and Maplibre GL JS need plugins. Except Cesium, every library needs an API key."
Database,,,,,,The ability to communicate with spatial databases,
Connection,Database,,,,,Connecting to spatial databases,
PostGIS,Connection,4,4,4,4,The library can connect to PostGIS databases,
SpatiaLite,Connection,3,3,3,3,The library can connect to SpatiaLite databases,There is a GeoPackage JavaScript library for this called geopackage-js.
